ID,RAJ2000,DEJ2000,w1,w1_err,h,h_err,k,k_err,Halpha_type,objtype_Hou,objtype_SIMBAD,Fe_type,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag
J055349.91+214740.7,88.457979,21.794662,13.215,0.025,13.417,0.026,13.36,0.027,II,CBe,,,16.145,0.006,14.696,0.004,14.3,0.0,14.42,0.0,14.11,0.0,13.581,13.417,13.36,0.022,0.026,0.027
J055359.62+215505.7,88.498442,21.918255,14.282,0.031,14.38,0.037,14.255,0.056,II,CBe,,,17.934,0.013,16.332,0.004,15.61,0.01,15.83,0.0,15.36,0.01,14.615,14.38,14.255,0.031,0.037,0.056
J055336.86+220429.2,88.403623,22.074791,12.898,0.024,13.093,0.027,12.948,0.027,II,CBe,,,16.545,0.007,14.872,0.003,14.29,0.0,14.46,0.0,14.05,0.0,13.266,13.093,12.948,0.023,0.027,0.027
J055331.99+221415.0,88.383302,22.237502,13.353,0.026,13.523,0.027,13.405,0.026,II,CBe,,,17.968,0.013,16.079,0.004,15.16,0.0,15.33,0.0,14.81,0.0,13.86,13.523,13.405,0.023,0.027,0.026
J055759.83+220700.6,89.499313,22.116848,13.207,0.026,13.365,0.023,13.195,0.03,II,CBe,,,16.797,0.007,15.11,0.003,14.52,0.0,14.66,0.0,14.26,0.0,13.544,13.365,13.195,0.023,0.023,0.03
J055309.74+212045.3,88.290588,21.34594,13.001,0.025,13.192,0.024,13.045,0.027,II,CBe,,,16.337,0.006,14.826,0.003,14.33,0.0,14.48,0.0,14.11,0.0,13.378,13.192,13.045,0.023,0.024,0.027
J055249.11+212233.3,88.204636,21.375933,13.143,0.026,13.285,0.026,13.212,0.021,II,CBe,,,16.541,0.007,14.973,0.003,14.46,0.0,14.61,0.0,14.24,0.0,13.535,13.285,13.212,0.022,0.026,0.021
J055353.63+212458.3,88.473459,21.416197,13.447,0.027,13.563,0.027,13.497,0.029,II,CBe,,,16.518,0.006,14.961,0.003,14.59,0.0,14.69,0.0,14.37,0.0,13.716,13.563,13.497,0.023,0.027,0.029
J055252.86+210928.2,88.220274,21.157855,13.762,0.029,13.903,0.032,13.797,0.036,II,CBe,,,17.543,0.01,15.757,0.004,15.12,0.0,15.29,0.0,14.88,0.0,14.143,13.903,13.797,0.026,0.032,0.036
J054710.00+212719.0,86.791692,21.455289,13.931,0.028,14.003,0.029,13.881,0.048,II,CBe,,,17.405,0.01,15.769,0.004,15.15,0.0,15.29,0.0,14.91,0.0,14.226,14.003,13.881,0.03,0.029,0.048
J055120.23+215234.0,87.83431,21.876115,14.092,0.029,14.206,0.034,14.034,0.051,II,CBe,,,17.045,0.009,15.6,0.004,15.17,0.0,15.29,0.0,14.98,0.0,14.361,14.206,14.034,0.029,0.034,0.051
J055006.49+213901.9,87.52705,21.650537,14.156,0.031,14.284,0.053,14.227,0.053,II,CBe,,,16.636,0.007,15.542,0.004,15.01,0.0,15.19,0.0,14.84,0.0,14.405,14.284,14.227,0.038,0.053,0.053
J055003.77+214801.4,87.515711,21.800403,14.429,0.033,14.482,0.054,14.6,0.072,II,CBe,,,17.878,0.013,16.259,0.004,15.63,0.01,15.75,0.0,15.38,0.01,14.785,14.482,14.6,0.04,0.054,0.072
J054318.10+201433.3,85.825434,20.242589,14.414,0.031,14.532,0.059,14.433,0.085,II,CBe,,,18.575,0.017,16.809,0.005,15.97,0.01,16.18,0.0,15.65,0.01,14.816,14.532,14.433,0.037,0.059,0.085
J054248.19+201640.9,85.700823,20.278043,15.81,0.059,15.828,0.172,15.562,0.218,II,CBe,,,19.082,0.024,17.525,0.005,16.89,0.01,17.03,0.0,16.64,0.01,15.956,15.828,15.562,0.11,0.172,0.218
J054333.22+204823.5,85.888435,20.806542,14.796,0.037,14.986,0.066,14.819,0.092,II,CBe,,,17.499,0.011,16.43,0.004,15.85,0.01,16.04,0.0,15.67,0.01,15.089,14.986,14.819,0.039,0.066,0.092
J054417.72+204501.4,86.073839,20.750396,14.872,0.037,15.032,0.089,15.193,0.127,II,CBe,,,19.389,0.027,17.496,0.006,16.65,0.01,16.82,0.01,16.26,0.01,15.419,15.032,15.193,0.049,0.089,0.127
J054222.00+210212.8,85.591676,21.036891,15.24,0.042,15.308,0.105,15.602,0.229,II,CBe,,,19.055,0.022,17.439,0.005,16.63,0.01,16.8,0.01,16.32,0.01,15.634,15.308,15.602,0.075,0.105,0.229
J054442.60+202625.6,86.177512,20.440451,15.195,0.044,15.278,0.095,15.085,0.116,II,CBe,,,19.746,0.033,17.805,0.006,16.86,0.01,17.04,0.01,16.43,0.01,15.657,15.278,15.085,0.063,0.095,0.116
J054452.45+201701.1,86.218543,20.283655,15.403,0.047,15.516,0.122,15.404,0.17,II,CBe,,,19.66,0.035,18.104,0.006,17.22,0.01,17.44,0.01,16.88,0.01,15.945,15.516,15.404,0.079,0.122,0.17
J054326.10+212642.6,85.85877,21.445178,15.122,0.043,15.355,0.1,15.145,0.153,II,CBe,,,19.704,0.042,17.71,0.005,16.84,0.01,17.0,0.01,16.43,0.01,15.509,15.355,15.145,0.063,0.1,0.153
J054306.79+213706.0,85.778295,21.618344,15.466,0.051,15.322,0.104,15.271,0.162,II,CBe,,,18.942,0.024,17.307,0.004,16.67,0.01,16.79,0.0,16.42,0.01,15.713,15.322,15.271,0.072,0.104,0.162
J054320.90+213044.7,85.837104,21.512428,14.822,0.035,14.924,0.072,14.886,0.123,II,CBe,,,19.289,0.03,17.423,0.005,16.56,0.01,16.72,0.0,16.17,0.01,15.376,14.924,14.886,0.053,0.072,0.123
J054232.45+212511.1,85.635235,21.419756,15.152,0.041,15.453,0.12,15.151,0.151,II,CBe,,,19.723,0.034,17.917,0.006,17.0,0.01,17.19,0.01,16.67,0.01,15.704,15.453,15.151,0.068,0.12,0.151
J054859.09+221117.5,87.246245,22.188198,15.461,0.046,15.528,0.1,15.417,0.141,II,CBe,,,19.19,0.024,17.56,0.005,16.9,0.01,17.01,0.0,16.63,0.01,16.033,15.528,15.417,0.074,0.1,0.141
J055057.88+213034.1,87.741175,21.509479,15.457,0.051,15.527,0.099,15.358,0.133,II,CBe,,,18.953,0.023,17.274,0.004,16.63,0.01,16.77,0.0,16.36,0.01,15.676,15.527,15.358,0.061,0.099,0.133
J055043.03+213246.1,87.679307,21.54616,15.396,0.048,15.555,0.103,15.315,0.129,II,CBe,,,18.771,0.021,17.134,0.004,16.51,0.01,16.63,0.0,16.22,0.01,15.682,15.555,15.315,0.054,0.103,0.129
J054507.72+210301.5,86.28218,21.05042,14.956,0.039,15.084,0.08,15.006,0.112,II,CBe,,,18.316,0.016,16.87,0.005,16.17,0.01,16.34,0.0,15.85,0.01,15.264,15.084,15.006,0.049,0.08,0.112
J054733.49+210920.2,86.889576,21.155624,15.93,0.065,15.582,0.129,15.377,0.157,II,CBe,,,19.152,0.026,17.521,0.005,16.83,0.01,16.97,0.0,16.58,0.01,16.087,15.582,15.377,0.086,0.129,0.157
J054728.40+211439.4,86.868366,21.24429,15.388,0.047,15.322,0.101,15.338,0.146,II,CBe,,,19.073,0.023,17.388,0.005,16.62,0.01,16.78,0.0,16.36,0.01,15.782,15.322,15.338,0.057,0.101,0.146
J054604.65+210141.9,86.519378,21.028307,14.894,0.039,14.985,0.08,14.733,0.089,II,CBe,,,18.359,0.016,16.682,0.005,16.05,0.01,16.17,0.0,15.77,0.01,15.165,14.985,14.733,0.04,0.08,0.089
J054722.00+211128.1,86.841703,21.191145,15.432,0.045,15.722,0.134,15.591,0.174,II,CBe,,,19.237,0.027,17.649,0.005,16.99,0.01,17.13,0.01,16.73,0.01,15.973,15.722,15.591,0.067,0.134,0.174
J054535.79+211200.5,86.399153,21.200163,14.297,0.031,14.709,0.066,14.512,0.076,II,CBe,,,18.631,0.019,16.873,0.005,16.06,0.01,16.22,0.0,15.73,0.01,14.958,14.709,14.512,0.039,0.066,0.076
J054643.81+211505.0,86.682551,21.25139,14.268,0.03,14.463,0.049,14.373,0.066,II,CBe,,,18.082,0.014,16.411,0.004,15.63,0.01,15.81,0.0,15.38,0.0,14.715,14.463,14.373,0.033,0.049,0.066
J054450.22+204404.9,86.209286,20.734706,15.48,0.051,15.758,0.152,15.516,,II,CBe,,,19.307,0.026,17.619,0.006,16.92,0.01,17.07,0.01,16.58,0.01,15.901,15.758,15.516,0.071,0.152,
